Word,Word class,Imageability (level),Imageability,Number of phonological neighbours (level),Number of phonological neighbours,Phonological neighbourhood density (level),Number of letters,Number of sounds,Number of syllables,Transitivity
å advare,verb,low,3.88,some,4,medium,6,6,3,transitive
å ake,verb,medium,6.190970435,many,26,high,3,3,2,intransitive
å angre,verb,low,3.85,some,9,medium,5,4,2,transitive
å anklage,verb,low,3.850009793,some,7,medium,7,7,3,transitive
å ansette,verb,low,3.7,some,8,medium,7,6,3,transitive
å anslå,verb,low,3.52722456,some,4,medium,5,5,2,transitive
å åpne,verb,medium,6.228438716,some,6,medium,4,4,2,alternating
å arbeide,verb,medium,4.962767123,some,5,high,7,6,3,alternating
å avansere,verb,low,3.37,few,3,medium,8,8,4,alternating
å avbryte,verb,low,3.34120217,few,3,medium,7,7,3,transitive
å avgi,verb,low,2.648171658,few,3,medium,4,4,2,transitive
å avlive,verb,medium,5.108741973,some,5,medium,6,6,3,transitive
å avsky,verb,low,4.076778652,few,3,medium,5,4,2,transitive
å avtale,verb,low,3.736804887,some,7,medium,6,6,3,transitive
å bade,verb,high,6.718871271,many,20,high,4,4,2,alternating
å bære,verb,medium,6.091557709,many,21,high,4,4,2,alternating
å bake,verb,medium,6.251979697,many,25,high,4,4,2,alternating
å balansere,verb,medium,5.765372765,some,4,medium,9,9,4,alternating
å banke,verb,medium,5.701154636,many,22,medium,5,5,2,alternating
å banke på,verb,medium,6.477744332,no info,,,8,8,3,alternating
å barbere,verb,high,6.61855339,some,5,low,7,7,3,transitive
å barbere seg,verb,medium,6.298010614,no info,,,11,10,4,transitive
å be,verb,medium,6.12845823,many,35,high,2,2,1,alternating
å begrave,verb,medium,5.982692461,some,4,medium,7,7,3,transitive
å begripe,verb,low,2.741886589,few,3,low,7,7,3,alternating
å begynne,verb,low,3.692561966,some,4,high,7,6,3,alternating
å beholde,verb,low,3.36,some,5,medium,7,6,3,transitive
å behøve,verb,low,2.600716762,some,6,medium,6,6,3,transitive
å benke seg,verb,medium,4.732890355,no info,,,9,8,3,transitive
å benytte,verb,low,3.708444092,some,6,medium,7,6,3,transitive
å beregne,verb,low,3.97,some,6,medium,7,6,3,transitive
å beskrive,verb,low,3.332163453,few,3,medium,8,8,3,alternating
å bestå av,verb,low,2.718258695,no info,,,8,8,3,transitive
å bestemme seg,verb,low,3.929215606,no info,,,12,10,4,transitive
å betale,verb,medium,5.59,some,7,medium,6,6,3,alternating
å beundre,verb,low,4.36,some,5,medium,7,7,3,transitive
å bevise,verb,low,3.629249745,some,6,medium,6,6,3,alternating
å bikke,verb,low,4.426835431,many,25,high,5,4,2,alternating
å bile,verb,medium,5.849656068,many,23,medium,4,4,2,alternating
å binde,verb,medium,5.149015014,many,30,high,5,4,2,alternating
å bite,verb,medium,5.999797962,many,21,high,4,4,2,alternating
å bivåne,verb,low,3.36924292,some,7,low,6,6,3,transitive
å bjeffe,verb,medium,6.176211276,some,6,medium,6,5,2,intransitive
å bjelle,verb,low,3.870773233,no info,,,6,5,2,transitive
å blande,verb,medium,4.990277578,some,17,medium,6,5,2,transitive
å blåse,verb,medium,6.259536694,some,11,medium,5,5,2,alternating
å bli,verb,low,3.41013962,some,18,high,3,3,1,intransitive
å blunke,verb,medium,6.292294612,some,10,medium,6,6,2,intransitive
å bo,verb,medium,5.393630564,many,34,high,2,2,1,intransitive
å bokse,verb,medium,6.245780637,some,9,medium,5,5,2,alternating
å bølge,verb,medium,4.786282287,some,8,medium,5,5,2,intransitive
å bolte,verb,medium,4.530390476,some,14,medium,5,5,2,transitive
å bore,verb,medium,6.234445564,some,14,medium,4,4,2,alternating
å børste,verb,medium,6.165631783,some,10,high,6,5,2,transitive
å bråke,verb,medium,5.438286861,some,16,high,5,5,2,alternating
å brekke,verb,medium,5.977649016,many,21,medium,6,5,2,transitive
å brenne,verb,medium,6.168552844,some,12,medium,6,5,2,alternating
å brenne (seg),verb,medium,5.93,some,12,medium,6,5,2,alternating
å brette,verb,medium,5.946421945,many,24,medium,6,5,2,transitive
å bruke,verb,low,3.258361666,some,11,high,5,5,2,transitive
å bry seg,verb,medium,4.800916984,no info,,,7,6,2,transitive
å bryte ut,verb,medium,4.760871348,no info,,,8,8,3,intransitive
å bukke,verb,medium,6.101366041,some,18,medium,5,4,2,alternating
å burde,verb,low,2.492796577,some,10,medium,5,4,2,intransitive
å busse,verb,medium,5.415519752,many,24,medium,5,4,2,intransitive
å bygge,verb,medium,5.861832513,some,14,medium,5,4,2,alternating
å dælje,verb,medium,5.807218335,no info,,,5,6,2,transitive
å danse,verb,high,6.649445997,some,8,medium,5,5,2,alternating
å deise,verb,low,4.346932937,some,18,medium,5,4,2,alternating
å dekke,verb,medium,5.266655475,many,25,high,5,4,2,alternating
å dele,verb,medium,5.157568716,some,16,high,4,4,2,alternating
å denge,verb,medium,5.580300775,many,19,high,5,4,2,transitive
å dette,verb,medium,5.572561966,many,26,high,5,4,2,intransitive
å dirigere,verb,medium,6.18373281,some,5,low,8,8,4,transitive
å dra,verb,medium,4.852117413,some,14,high,3,3,1,alternating
å drikke,verb,high,6.701520813,some,10,medium,6,5,2,alternating
å drive,verb,low,4.151810614,some,7,medium,5,5,2,transitive
å drømme,verb,medium,5.305028051,some,5,medium,6,5,2,alternating
å drukne,verb,medium,5.714083677,some,6,medium,6,6,2,alternating
å dryppe,verb,medium,6.115246577,some,8,medium,6,5,2,alternating
å dunke,verb,medium,5.327638125,some,14,medium,5,5,2,alternating
å dusje,verb,high,6.763219467,some,12,medium,5,4,2,alternating
å dyrke,verb,medium,5.805243367,some,9,medium,5,5,2,alternating
å dytte,verb,medium,5.984809034,many,24,high,5,4,2,transitive
å eksistere,verb,low,3.04,few,3,medium,9,9,4,
å elske,verb,medium,5.45,some,8,medium,5,5,2,alternating
å ende,verb,low,3.398268329,many,31,high,4,3,2,intransitive
å endre,verb,low,3.061811895,some,8,high,5,5,2,alternating
å ense,verb,low,3.575051613,some,15,medium,4,4,2,transitive
å erklære,verb,low,3.65,some,4,medium,7,7,3,transitive
å ete,verb,medium,6.518083024,many,19,high,3,3,2,alternating
å evne,verb,low,2.893029318,some,12,medium,4,4,2,transitive
å få,verb,low,4.192246678,many,26,high,2,2,1,transitive
å få til,verb,low,3.573039191,no info,,,6,6,2,transitive
å fable,verb,low,3.918435769,some,5,low,5,5,2,intransitive
å falle,verb,medium,5.644795598,many,35,high,5,4,2,intransitive
å fantasere,verb,medium,4.552510258,some,4,low,9,9,4,intransitive
å fare,verb,low,3.875918255,many,26,high,4,4,2,alternating
å fargelegge,verb,medium,5.921739666,no info,,,10,10,4,alternating
å feie,verb,medium,5.937237915,many,20,medium,4,3,2,alternating
å feile,verb,low,3.612293654,many,22,medium,5,4,2,intransitive
å feire,verb,medium,5.58,many,22,high,5,4,2,alternating
å fekte,verb,medium,6.185210774,many,21,medium,5,5,2,alternating
å fikse,verb,medium,5.114501949,some,11,medium,5,5,2,transitive
å file,verb,medium,5.233153799,many,24,high,4,4,2,alternating
å filme,verb,medium,6.276778458,some,6,medium,5,5,2,alternating
å fingre med,verb,medium,4.931698577,no info,,,10,8,3,intransitive
å finne,verb,low,4.301197534,many,22,high,5,4,2,transitive
å fiske,verb,medium,6.497335743,some,16,medium,5,5,2,alternating
å flagge,verb,medium,6.099397931,some,12,medium,6,5,2,intransitive
å flagre,verb,medium,5.46158831,some,5,low,6,6,2,intransitive
å flakse,verb,medium,5.584173539,some,11,low,6,6,2,intransitive
å flaske seg,verb,low,2.962201406,no info,,,10,9,3,intransitive
å flette,verb,medium,6.171145955,some,18,medium,6,5,2,transitive
å flire,verb,medium,6.127009403,some,13,medium,5,5,2,intransitive
å flokke seg,verb,medium,5.305028051,no info,,,10,8,3,transitive
å flomme,verb,medium,5.4293253,some,10,medium,6,5,2,intransitive
å fløyte,verb,medium,5.537722714,some,12,medium,6,5,2,alternating
å fly,verb,medium,6.344683492,some,17,medium,3,3,1,alternating
å flyte,verb,medium,6.071956219,some,8,medium,5,5,2,intransitive
å flytte,verb,medium,5.607053956,some,11,medium,6,5,2,alternating
å fnise,verb,medium,6.182979185,some,11,low,5,5,2,intransitive
å føde,verb,high,6.61855339,some,16,medium,4,4,2,alternating
å folde,verb,medium,4.962106094,many,31,high,5,4,2,transitive
å føle,verb,low,4.293947142,many,20,high,4,4,2,alternating
å følge,verb,low,4.32234282,many,21,high,5,4,2,alternating
å følge etter,verb,medium,5.65,no info,,,11,no info,no info,
å føne,verb,medium,6.147393385,some,18,medium,4,4,2,transitive
å forandre,verb,low,3.734483204,some,6,medium,8,8,3,alternating
å forårsake,verb,low,2.93,some,5,medium,9,8,4,transitive
å føre,verb,medium,4.686030238,many,27,high,4,4,2,alternating
å foregå,verb,low,2.697590059,few,2,medium,6,6,3,intransitive
å forestille,verb,low,3.648706201,some,4,medium,10,9,4,ditransitive
å forklare,verb,medium,4.512542263,some,5,medium,8,8,3,alternating
å forme,verb,medium,4.850488897,some,10,medium,5,5,2,transitive
å forstå,verb,low,3.684746925,some,7,medium,6,5,2,alternating
å forsvinne,verb,low,4.070560416,few,3,medium,9,7,3,intransitive
å forsyne seg,verb,medium,5.93033692,no info,,,11,10,4,transitive
å forte seg,verb,medium,5.044490561,no info,,,9,7,3,transitive
å fortelle,verb,medium,4.757464069,some,5,medium,8,6,3,alternating
å fortsette,verb,low,3.984330685,some,4,medium,9,7,3,alternating
å forvente,verb,low,3.364613658,some,8,medium,8,8,3,transitive
å fosse,verb,medium,5.127430336,some,14,medium,5,4,2,intransitive
å fotografere,verb,medium,6.307844732,some,4,medium,11,11,5,alternating
å fremme,verb,low,3.1,some,14,medium,6,5,2,transitive
å friste,verb,low,4.012548939,some,12,medium,6,6,2,transitive
å frykte,verb,low,4.486759673,some,9,medium,6,6,2,alternating
å fryse,verb,medium,5.663920444,some,10,medium,5,5,2,alternating
å fungere,verb,low,3.003593617,some,4,medium,7,7,3,intransitive
å funke,verb,low,3.742634687,no info,,,5,6,2,intransitive
å fuske,verb,medium,4.576778652,some,16,medium,5,5,2,intransitive
å fyke,verb,medium,4.511436463,some,10,medium,4,4,2,intransitive
å gå,verb,medium,6.133614498,many,24,high,2,2,1,alternating
å gå på do,verb,high,6.73,no info,,,8,no info,no info,
å gå på jakt,verb,medium,6.12798734,no info,,,10,9,3,transitive
å gå på rulleskøyter,verb,medium,6.332291582,no info,,,18,14,6,transitive
å gå på ski,verb,high,6.710066351,no info,,,9,7,3,transitive
å gå på skøyter,verb,high,6.62128624,no info,,,13,10,4,transitive
å gå seg bort,verb,medium,4.78,no info,,,11,no info,no info,
å gå seg vill,verb,low,4.44,no info,,,11,no info,no info,
å gafle,verb,medium,5.061503507,some,7,medium,5,5,2,transitive
å garantere,verb,low,2.898361666,some,4,medium,9,9,4,alternating
å gi,verb,medium,5.186561306,many,23,high,2,2,1,alternating
å gidde,verb,low,3.273517828,some,10,medium,5,4,2,alternating
å gifte seg,verb,medium,6.07567803,no info,,,9,8,3,transitive
å gjemme,verb,medium,5.392383428,many,23,medium,6,4,2,alternating
å gjerde inn,verb,medium,5.949992037,no info,,,10,7,3,transitive
å gjespe,verb,medium,6.515105114,some,9,medium,6,5,2,intransitive
å gjeste,verb,low,4.163500659,some,15,high,6,5,2,transitive
å gjette,verb,low,3.67,many,31,high,6,4,2,alternating
å gjøre,verb,low,3.99534353,many,22,high,5,4,2,alternating
å glede,verb,medium,4.64528894,some,9,medium,5,5,2,transitive
å glemme,verb,medium,4.531913244,some,15,medium,6,5,2,alternating
å gli,verb,medium,5.602406156,many,19,high,3,3,1,intransitive
å gløtte,verb,medium,5.05033692,some,14,medium,6,5,2,intransitive
å gni,verb,medium,5.788444092,some,9,medium,3,3,1,alternating
å godta,verb,low,3.913306322,few,2,medium,5,4,2,alternating
å gråte,verb,medium,6.325836328,some,10,medium,5,5,2,alternating
å grave,verb,medium,6.183862083,some,16,medium,5,5,2,alternating
å gre,verb,medium,6.124390805,many,21,high,3,3,1,transitive
å gresse,verb,medium,6.088427097,some,14,medium,6,5,2,intransitive
å grille,verb,medium,6.535987696,some,15,medium,6,5,2,transitive
å grine,verb,medium,6.027600874,some,14,medium,5,5,2,intransitive
å gripe,verb,medium,5.73,some,8,medium,5,5,2,transitive
å grise,verb,medium,5.991223252,some,17,medium,5,5,2,alternating
å gro,verb,medium,5.556016073,some,18,high,3,3,1,intransitive
å gynge,verb,medium,5.758741973,some,13,medium,5,4,2,alternating
å ha,verb,low,3.350240649,many,37,high,2,2,1,alternating
å haike,verb,medium,6.549160363,some,8,medium,5,4,2,intransitive
å hakke,verb,medium,6.074072335,many,25,high,5,4,2,alternating
å hale,verb,medium,5.324282536,many,31,high,4,4,2,alternating
å hamle opp,verb,low,3.162140203,no info,,,9,8,3,intransitive
å hamre,verb,medium,6.142066143,some,11,medium,5,5,2,alternating
å handle,verb,medium,5.63,some,5,medium,6,6,2,alternating
å håpe,verb,low,3.755632407,some,18,high,4,4,2,alternating
å hate,verb,low,3.630240649,many,28,medium,4,4,2,transitive
å havne,verb,low,2.90158831,some,10,medium,5,5,2,transitive
å helle,verb,medium,6.003330105,many,37,high,5,4,2,alternating
å henge,verb,medium,5.525585546,many,20,high,5,4,2,alternating
å hente,verb,low,4.471292266,many,23,high,5,5,2,alternating
å herje,verb,medium,4.981689079,some,10,medium,5,5,2,intransitive
å herse med,verb,medium,4.918435769,no info,,,9,8,3,intransitive
å hete,verb,low,3.625600491,many,24,high,4,4,2,transitive
å heve,verb,medium,4.723056246,many,23,high,4,4,2,transitive
å hinte,verb,low,3.785591364,no info,,,5,6,2,intransitive
å hjelpe,verb,medium,4.674105583,some,6,medium,6,5,2,alternating
å hoie,verb,medium,5.285568695,some,10,medium,4,3,2,intransitive
å holde,verb,medium,5.478035207,many,27,high,5,4,2,alternating
å hoppe,verb,medium,6.431590195,many,23,high,5,4,2,intransitive
å høre,verb,medium,5.308208562,many,23,high,4,4,2,alternating
å høre etter,verb,medium,4.97,no info,,,10,no info,no info,
å høre på,verb,medium,5.703154562,no info,,,7,7,3,alternating
å hoste,verb,medium,6.05,some,10,medium,5,5,2,
å høste,verb,medium,5.465284637,some,8,medium,5,5,2,transitive
å hugge,verb,medium,6.078179774,many,19,medium,5,4,2,transitive
å hulle,verb,medium,4.931216504,many,23,high,5,4,2,transitive
å huse,verb,low,3.86626864,many,27,medium,4,4,2,transitive
å huske (å minnes),verb,low,3.430786365,some,16,medium,5,5,2,transitive
å huske (på lekeplass),verb,medium,6.253295392,some,16,medium,5,5,2,intransitive
å hvelve,verb,low,4.264180368,some,14,medium,6,5,2,alternating
å hvile,verb,medium,6.132561966,many,29,high,5,4,2,alternating
å hviske,verb,medium,5.504043115,many,24,medium,6,5,2,alternating
å hysje,verb,medium,5.61,some,15,medium,5,4,2,alternating
å ignorere,verb,low,4.012327196,some,4,medium,8,8,4,transitive
å illustrere,verb,medium,4.565374612,some,4,medium,10,9,4,transitive
å innføre,verb,low,2.68,some,6,medium,7,6,3,transitive
å irritere,verb,low,4.330523704,some,7,medium,8,7,4,transitive
å jage,verb,medium,5.115100158,some,17,medium,4,4,2,intransitive
å jakte,verb,medium,6.015318184,some,15,medium,5,5,2,alternating
å jakte på,verb,medium,5.129246293,no info,,,8,8,3,intransitive
å jobbe,verb,medium,5.650079918,some,15,medium,5,4,2,alternating
å kalles,verb,low,3.167510147,some,16,medium,6,5,2,transitive
å kaste,verb,medium,6.533661962,many,21,medium,5,5,2,alternating
å kikke,verb,medium,5.220882272,many,28,high,5,4,2,intransitive
å kjemme,verb,medium,5.570705129,many,21,medium,6,4,2,transitive
å kjevle,verb,medium,6.213076845,some,11,low,6,5,2,transitive
å kjøpe,verb,medium,5.586676881,some,16,high,5,4,2,alternating
å kjøre,verb,medium,6.133939035,many,23,high,5,4,2,alternating
å klappe,verb,medium,6.192139016,many,22,medium,6,5,2,alternating
å klare,verb,low,3.589975971,some,16,high,5,5,2,alternating
å klatre,verb,medium,6.299301388,some,9,medium,6,6,2,alternating
å kle på,verb,medium,6.171686242,no info,,,6,6,2,transitive
å klekke,verb,medium,5.424846593,many,19,medium,6,5,2,alternating
å klekkes,verb,medium,5.623163096,some,11,medium,7,6,2,intransitive
å klemme,verb,medium,5.965988328,some,15,medium,6,5,2,alternating
å klippe,verb,medium,6.278750526,many,19,medium,6,5,2,transitive
å klovne,verb,medium,4.814925876,some,7,low,6,6,2,intransitive
å klype,verb,medium,5.849734439,some,10,medium,5,5,2,transitive
å knabbe,verb,medium,4.873158834,some,15,medium,6,5,2,transitive
å knele,verb,medium,5.959175702,some,6,medium,5,5,2,intransitive
å kneppe,verb,medium,5.75,some,15,medium,6,5,2,alternating
å kneppe opp,verb,medium,5.903979181,no info,,,10,8,3,alternating
å knuse,verb,medium,5.95,some,13,medium,5,5,2,transitive
å knytte,verb,medium,4.988770311,some,12,medium,6,5,2,transitive
å koke,verb,medium,6.446215724,some,18,medium,4,4,2,transitive
å komme,verb,medium,4.880065543,many,19,high,5,4,2,alternating
å kommentere,verb,medium,4.640858295,some,4,medium,10,9,4,transitive
å konsentrere,verb,low,3.38,some,4,medium,11,11,4,transitive
å konsentrere seg,verb,low,4.32,no info,,,15,no info,no info,
å korse seg,verb,medium,4.992938555,no info,,,9,7,3,transitive
å kose,verb,medium,6.010320834,many,22,medium,4,4,2,intransitive
å krabbe,verb,medium,6.247005952,some,15,medium,6,5,2,intransitive
å krangle,verb,medium,5.377261988,some,12,medium,7,6,2,intransitive
å kreve,verb,low,3.586544861,some,8,medium,5,5,2,transitive
å krige,verb,medium,5.789009677,some,9,medium,5,5,2,intransitive
å kry,verb,low,3.351684674,some,13,medium,3,3,1,intransitive
å krympe,verb,medium,5.266339775,some,5,medium,6,6,2,alternating
å krysse,verb,medium,4.931698577,some,13,medium,6,5,2,alternating
å kryste,verb,medium,4.661317548,some,10,medium,6,6,2,transitive
å kunne,verb,low,3.18529723,many,19,medium,5,4,2,transitive
å kutte,verb,medium,5.498795094,many,25,high,5,4,2,transitive
å kverne,verb,medium,5.865519436,some,5,medium,6,5,2,transitive
å kysse,verb,medium,6.486124158,some,17,medium,5,4,2,alternating
å la,verb,low,2.729037994,many,33,high,2,2,1,transitive
å lære,verb,medium,4.69,many,25,high,4,4,2,transitive
å lage,verb,low,4.296283483,many,32,high,4,4,2,alternating
å lage mat,verb,medium,6.00989215,no info,,,8,8,3,transitive
å lande,verb,medium,5.970888863,many,30,high,5,4,2,transitive
å låse,verb,medium,6.346999834,many,27,high,4,4,2,transitive
å late som,verb,low,3.84,no info,,,8,no info,no info,
å le,verb,medium,6.10548595,many,40,high,2,2,1,alternating
å lede,verb,medium,4.978327663,many,30,high,4,4,2,alternating
å legge,verb,medium,5.17530819,many,22,high,5,4,2,alternating
å leke,verb,medium,5.525332747,many,25,high,4,4,2,alternating
å lekke,verb,medium,5.000503571,many,34,high,5,4,2,alternating
å lengte,verb,low,4.34,many,19,high,6,5,2,alternating
å lese,verb,medium,6.108441522,many,29,high,4,4,2,alternating
å lete,verb,medium,5.372980093,many,31,high,4,4,2,alternating
å lide,verb,medium,4.77426412,many,19,high,4,4,2,intransitive
å ligge,verb,medium,6.304215606,many,20,high,5,4,2,intransitive
å like,verb,low,3.894638336,many,27,high,4,4,2,transitive
å lime,verb,medium,5.697565582,many,23,high,4,4,2,transitive
å løfte,verb,medium,6.148768417,some,11,medium,5,5,2,alternating
å lokke,verb,medium,4.676826945,many,29,medium,5,4,2,alternating
å løpe,verb,medium,6.045857003,some,14,high,4,4,2,intransitive
å love,verb,low,2.829028247,many,27,high,4,4,2,alternating
å lufte,verb,medium,5.231164466,some,13,medium,5,5,2,alternating
å lukke,verb,medium,5.689416698,many,20,medium,5,4,2,transitive
å lukte,verb,medium,5.324640969,some,10,medium,5,5,2,alternating
å lure,verb,low,4.12362717,many,29,medium,4,4,2,transitive
å lure på,verb,low,3.82,no info,,,7,no info,no info,
å lykkes,verb,low,3.583523697,some,12,medium,6,5,2,intransitive
å lyse,verb,medium,5.488873417,many,30,high,4,4,2,alternating
å lyste,verb,low,2.00851705,many,22,medium,5,5,2,transitive
å lytte,verb,medium,5.031590195,many,29,high,5,4,2,intransitive
å lyve,verb,medium,5.097284145,many,22,medium,4,4,2,intransitive
å måke,verb,medium,5.98,many,22,high,4,4,2,transitive
å makte,verb,low,3.108738924,some,16,medium,5,5,2,transitive
å male,verb,high,6.79982075,many,27,medium,4,4,2,alternating
å måle,verb,medium,5.16875247,many,25,high,4,4,2,transitive
å mangle,verb,low,4.176442504,some,11,high,6,5,2,alternating
å massere,verb,medium,6.236804887,some,12,medium,7,6,3,transitive
å mate,verb,medium,5.848236087,many,29,high,4,4,2,transitive
å måtte,verb,low,3.284333666,many,22,high,5,4,2,intransitive
å meisle,verb,medium,4.79591543,some,5,low,6,5,2,transitive
å melke,verb,medium,6.481461868,some,11,medium,5,5,2,transitive
å mene,verb,low,2.763189729,many,23,high,4,4,2,transitive
å minne om,verb,low,2.74,no info,,,8,no info,no info,
å minne på,verb,low,3.25,no info,,,8,no info,no info,
å mislike,verb,low,3.074474136,some,5,medium,7,7,3,transitive
å miste,verb,medium,5.002266406,some,17,high,5,5,2,transitive
å moppe,verb,medium,5.788000986,many,20,high,5,4,2,alternating
å mose,verb,medium,5.37,many,24,medium,4,4,2,alternating
å møte,verb,medium,5.048870551,many,19,high,4,4,2,alternating
å mure,verb,medium,5.967196832,many,26,medium,4,4,2,alternating
å nå,verb,low,4.317209208,many,29,high,2,2,1,alternating
å nappe,verb,medium,5.656191601,many,25,medium,5,4,2,alternating
å nekte,verb,low,4.41,many,19,high,5,5,2,alternating
å nikke,verb,medium,6.217565582,many,24,high,5,4,2,intransitive
å nyse,verb,medium,6.152583913,some,18,high,4,4,2,intransitive
å nytte,verb,low,2.212277421,many,29,high,5,4,2,alternating
å ødelegge,verb,medium,5.610293136,some,4,medium,8,7,4,transitive
å øke,verb,low,4.334255887,some,18,high,3,3,2,alternating
å ønske,verb,low,3.420969481,some,7,high,5,5,2,alternating
å operere,verb,medium,5.76504018,some,5,medium,7,7,4,alternating
å oppdage,verb,low,4.288455295,some,5,medium,7,6,3,transitive
å oppfatte,verb,low,3.925021693,some,10,medium,8,6,3,transitive
å oppholde,verb,low,3.863433492,some,6,medium,8,6,3,transitive
å ordne,verb,low,4.318192028,some,5,medium,5,5,2,alternating
å øse,verb,medium,6.078833352,many,22,medium,3,3,2,alternating
å pakke,verb,medium,5.948601159,many,29,medium,5,4,2,alternating
å peke,verb,medium,6.45,some,16,medium,4,4,2,alternating
å planlegge,verb,low,4.33,few,3,medium,9,8,3,transitive
å plante,verb,medium,6.170458017,some,8,medium,6,6,2,transitive
å plaske,verb,medium,6.173903555,some,10,medium,6,6,2,intransitive
å plassere,verb,low,4.366159721,some,10,medium,8,7,3,transitive
å pløye,verb,medium,6.256086125,some,8,medium,5,4,2,alternating
å plukke,verb,medium,5.576083065,some,9,medium,6,5,2,alternating
å plystre,verb,medium,6.363347226,some,6,low,7,7,2,alternating
å poste,verb,medium,5.397858765,some,9,high,5,5,2,alternating
å prate,verb,medium,6.211409301,some,10,medium,5,5,2,alternating
å prege,verb,low,4.22,some,8,medium,5,5,2,transitive
å presse,verb,medium,5.023023801,some,12,medium,6,5,2,transitive
å prompe,verb,medium,5.66,some,7,medium,6,6,2,
å prøve,verb,low,3.739084984,some,7,medium,5,5,2,transitive
å pumpe opp,verb,medium,5.928914386,no info,,,9,8,3,alternating
å pusse,verb,medium,5.785958883,many,25,medium,5,4,2,alternating
å pusse tenner,verb,medium,6.43765443,no info,,,12,10,4,transitive
å puste,verb,medium,5.8,some,16,medium,5,5,2,
å putte,verb,medium,4.814233516,many,25,medium,5,4,2,transitive
å rake,verb,high,6.650052147,many,38,medium,4,4,2,alternating
å rane,verb,medium,5.602922964,many,34,medium,4,4,2,transitive
å rase,verb,medium,4.890050754,many,34,medium,4,4,2,intransitive
å re,verb,medium,5.75,many,38,high,2,2,1,transitive
å regne (med tall),verb,medium,5.26,many,33,high,5,4,2,alternating
å regne (om været),verb,medium,6.093395739,many,33,high,5,4,2,alternating
å rense,verb,low,3.93,some,15,medium,5,5,2,transitive
å reparere,verb,medium,5.188321955,some,5,medium,8,8,4,transitive
å rette,verb,low,4.203286018,many,34,high,5,4,2,transitive
å ri,verb,medium,6.458099187,many,37,high,2,2,1,alternating
å ringe,verb,medium,6.285763047,many,22,medium,5,4,2,alternating
å ringe på,verb,medium,6.186590371,no info,,,8,7,3,alternating
å riste,verb,medium,5.75,many,31,high,5,5,2,transitive
å rive,verb,medium,5.345535222,many,25,medium,4,4,2,alternating
å rive av,verb,medium,5.57,no info,,,7,no info,no info,
å ro,verb,medium,6.432670804,many,32,high,2,2,1,alternating
å romme,verb,low,4.390798886,many,22,medium,5,4,2,transitive
å rope,verb,medium,6,many,19,medium,4,4,2,alternating
å røre,verb,medium,5.805876869,many,28,high,4,4,2,transitive
å røske,verb,medium,5.240229645,some,12,medium,5,5,2,alternating
å rote,verb,medium,5.263074122,many,28,medium,4,4,2,alternating
å røyke,verb,medium,6.393630564,some,17,medium,5,4,2,alternating
å ruske,verb,medium,4.520204903,many,20,medium,5,5,2,alternating
å rusle,verb,medium,5.828616417,some,15,medium,5,5,2,alternating
å rydde,verb,medium,5.844755934,many,25,medium,5,4,2,alternating
å rygge,verb,medium,5.853895789,some,15,medium,5,4,2,alternating
å rykke,verb,low,4.470246361,many,22,high,5,4,2,alternating
å rynke,verb,medium,6.042158666,some,12,medium,5,5,2,alternating
å så,verb,medium,4.927048086,many,36,high,2,2,1,alternating
å safte,verb,medium,5.429270054,some,13,medium,5,5,2,alternating
å sage,verb,medium,6.498965117,many,24,medium,4,4,2,alternating
å sakse,verb,medium,5.199628652,some,16,medium,5,5,2,alternating
å salte,verb,medium,5.603560469,many,25,medium,5,5,2,transitive
å satse på,verb,low,3.483629392,no info,,,8,8,3,alternating
å sause inn,verb,low,3.548300643,no info,,,9,7,3,transitive
å savne,verb,low,4,some,12,medium,5,5,2,transitive
å se,verb,medium,5.318675148,many,37,high,2,2,1,alternating
å se på (TV),verb,medium,6.123696037,no info,,,5,5,2,transitive
å seile,verb,medium,6.289109885,many,31,medium,5,4,2,alternating
å selge,verb,medium,4.88,many,32,high,5,4,2,transitive
å sende,verb,medium,5.34147116,many,24,high,5,4,2,alternating
å servere,verb,medium,5.79,some,4,medium,7,7,3,alternating
å sette,verb,low,4.444567464,many,32,high,5,4,2,alternating
å si,verb,low,3.919878195,many,35,high,2,2,1,alternating
å sikre seg,verb,low,3.419963631,no info,,,9,8,3,ditransitive
å sitte,verb,high,6.687518907,many,31,high,5,4,2,alternating
å sjanse,verb,low,2.757683875,no info,,,6,5,2,intransitive
å skade,verb,medium,5.352923494,some,12,medium,5,5,2,transitive
å skamme seg,verb,low,4.25,no info,,,10,no info,no info,
å skape,verb,low,3.943409561,some,13,medium,5,5,2,alternating
å skille,verb,medium,4.554793409,many,27,high,6,4,2,transitive
å skjære,verb,medium,6.259685392,many,20,high,6,4,2,transitive
å skjære ut,verb,medium,5.15531649,no info,,,9,7,3,transitive
å skje,verb,low,3.569810937,many,31,high,4,2,1,intransitive
å skjenne,verb,medium,4.800476604,many,30,high,7,4,2,intransitive
å skjønne,verb,low,3.667668406,some,15,medium,7,4,2,transitive
å skjule,verb,low,4.488421884,some,16,medium,6,4,2,transitive
å skli,verb,medium,6.441809649,some,5,medium,4,4,1,intransitive
å sko,verb,medium,5.332372793,some,16,medium,3,3,1,transitive
å skøyte,verb,medium,5.620694322,some,11,medium,6,4,2,intransitive
å skråne,verb,low,4.421094817,some,11,low,6,6,2,intransitive
å skrelle,verb,medium,6.095036058,some,10,medium,7,6,2,alternating
å skremme,verb,medium,5.780514701,some,7,medium,7,6,2,transitive
