Word,Word class,Imageability (level),Imageability,Number of phonological neighbours (level),Number of phonological neighbours,Phonological neighbourhood density (level),Number of letters,Number of sounds,Number of syllables,Transitivity
et skjul,noun,medium,5.55480544,some,18,medium,5,3,1,
et skremsel,noun,low,4.128551882,few,1,low,8,8,2,
et skrivebord,noun,high,6.625276766,few,3,medium,10,9,3,
et skur,noun,medium,6.459342786,some,17,medium,4,4,1,
et skyts,noun,low,3.04,few,3,low,5,4,1,
et slips,noun,high,6.659355446,some,8,medium,5,5,1,
et slott,noun,medium,6.436749908,some,14,high,5,4,1,
et smørbrød,noun,medium,6.591756323,few,2,low,8,7,2,
et smykke,noun,medium,6.563787593,some,8,medium,6,5,2,
et sopelime,noun,medium,6.533224137,few,3,low,8,8,4,
et soverom,noun,high,6.72,few,2,medium,7,7,3,
et spark,noun,medium,6.225282583,some,7,medium,5,5,1,
et speil,noun,high,6.651181897,some,12,medium,5,4,1,
et spekter,noun,low,3.906043623,few,2,medium,7,7,2,
et spill,noun,medium,5.728499674,some,14,medium,5,4,1,
et spøkelse,noun,medium,6.237739884,few,3,low,8,8,3,
et spor,noun,medium,5.911707251,some,14,high,4,4,1,
et spørsmål,noun,low,3.713985808,few,2,medium,8,7,2,
et stativ,noun,medium,6.062707817,few,2,low,6,6,2,
et stearinlys,noun,high,6.642383428,few,2,low,10,10,4,
et sted,noun,low,4.21791819,many,24,high,4,3,1,
et stikk,noun,medium,5.945751585,many,20,medium,5,4,1,
et stopp,noun,medium,5.123317212,some,13,high,5,4,1,
et strykejern,noun,medium,6.46158831,few,2,low,10,9,3,
et stunt,noun,low,4.181469389,no info,,,5,5,1,
et styggvær,noun,medium,6.254378051,few,2,low,8,7,2,
et sukkertøy,noun,medium,6.419878195,few,2,low,9,6,3,
et svar,noun,low,4.422729395,many,19,high,4,4,1,
et sverd,noun,high,6.74,some,6,low,5,5,1,
et svin,noun,medium,6.283905177,some,16,high,4,4,1,
