Word,English translation,Word class,Imageability (level),Imageability,Subjective AoA (level),Subjective AoA,Usage frequency (level),Usage frequency,Usage frequency per million words,No. phonological neighbours (level),No. phonological neighbours,Phonological neighbourhood density (level),Phonological neighbourhood density,Phonological neighbours,No. letters,No. sounds,No. syllables,Derivation?,Compound?,First sound fricative?,Starts in consonant cluster?,Grammatical gender,Mainly used in plural?,Mass noun?,Valency,Transitivity,Multi-word phrase?
å telle,,verb,medium,4.99,,,medium,27924,39.89142857,many,30,medium,163408,"selge (71), melde (35), teller (23), gjelde (21), helle (12), tette (10), tele (10), pelle (6), felle (5), teppet (5), elle (4), teppe (4), tenne (4), stelle (3), celle (3), telles (2), tulle (2), telte (1), skjelle (1), temme (1), velle (<1), tekket (<1), selle (<1), helde (<1), talle (<1), tolle (<1), gjelle (<1), tekke (<1), tylle (<1), tedde (<1), trelle (<1), tevle (<1), tjelde (<1), telne (<1), telgje (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,,alternating,FALSE
å telte,to tent,verb,medium,6.054220311,medium,6.75,low,377,0.538571429,many,25,medium,63454,"teste (24), meldte (17), tette (10), telle (9), tente (4), belte (4), teltet (4), teltet (4), velte (2), beltet (2), felte (2), stelte (1), helte (1), skjelte (<1), elte (<1), temte (<1), telter (<1), melte (<1), tekte (<1), telta (<1), pelte (<1), telne (<1), teltes (<1), telgje (<1), gjelte (<1), gjeldte (<1)",5,5,2,TRUE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å tenke,to think,verb,low,4.127823895,medium,5,high,311410,444.8714286,some,13,high,246526,"tenker (130), tenkte (74), tanke (67), lenke (49), tenkes (12), senke (10), enke (4), skjenke (<1), tekket (<1), benke (<1), jenke (<1), tekke (<1), stenke (<1), renke (<1)",5,5,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å tenne,to light,verb,medium,6.166911844,medium,4.725490196,medium,12299,17.57,many,27,high,1466456,"denne (1559), henne (244), sende (89), kjenne (41), ende (31), hende (27), tenner (13), tine (12), tynne (11), vende (11), tette (10), telle (9), teppet (5), venne (4), tente (4), renne (4), teppe (4), dennes (2), tønne (2), tennes (1), temme (1), tekket (<1), lende (<1), penne (<1), tekke (<1), lendet (<1), skjenne (<1), bende (<1), nenne (<1), skjende (<1), tedde (<1), kjennet (<1), hendet (<1), tetne (<1), telne (<1), tanne (<1)",5,4,2,TRUE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å tenne på,to ignite,verb,medium,5.73840286,medium,6.571428571,medium,3144,4.491428571,no info,,,,no info,8,7,3,FALSE,FALSE,FALSE,FALSE,,,,1,intransitive,TRUE
å tigge,to beg,verb,medium,5.926989746,medium,6.263157895,low,1607,2.295714286,many,23,medium,66047,"ligge (60), tine (12), tippe (4), titte (4), tisse (3), tygge (2), tigger (1), digge (1), trigge (<1), rigge (<1), tagge (<1), tikke (<1), tigget (<1), tirre (<1), tidde (<1), pigge (<1), tinge (<1), tigga (<1), tigde (<1), gigge (<1), tigges (<1), vigge (<1), tugge (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å tilsi,to indicate,verb,low,2.262319548,late,11.64285714,medium,19769,28.24142857,few,3,medium,3947,"tilgi (3), tilsa (1), tilså (<1)",5,5,2,FALSE,TRUE,FALSE,FALSE,,,,2,transitive,FALSE
å tiltrekke,to attract,verb,low,3.872755484,late,10.71428571,medium,8146,11.63714286,few,2,medium,2314,"tiltrekker (3), tiltrekk (<1)",9,8,3,FALSE,TRUE,FALSE,FALSE,,,,3,ditransitive,FALSE
å tisse,to pee ,verb,high,6.926020194,early,2.206896552,medium,4760,6.8,many,33,high,577480,"disse (741), visse (35), tine (12), tippe (4), tispe (4), titte (4), skisse (3), tisser (2), tipse (2), pisse (1), tisset (1), tisset (1), hisse (1), nisse (1), tigge (<1), tysse (<1), tusse (<1), tikke (<1), isse (<1), tissa (<1), misse (<1), tirre (<1), tidde (<1), risse (<1), tasse (<1), tiske (<1), tinge (<1), lisse (<1), tisses (<1), tosse (<1), gisse (<1), trisse (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å titte,to peek,verb,medium,5.785535222,early,3.75,medium,9764,13.94857143,many,28,medium,84927,"sitte (64), tine (12), tette (10), gitte (5), titter (5), tippe (4), tittet (4), bitte (3), tisse (3), fitte (2), tigge (<1), titta (<1), litte (<1), midte (<1), tikke (<1), tirre (<1), tidde (<1), tinte (<1), tinge (<1), tatte (<1), tite (<1), kitte (<1), hitte (<1), lidte (<1), hvitte (<1), tytte (<1), skitte (<1), nitte (<1)",5,4,2,FALSE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å toge,to parade,verb,low,4.495125019,late,9.833333333,medium,1836,2.622857143,some,17,medium,49287,"tåle (16), toget (16), toget (16), tove (9), våge (4), tåke (3), tåre (1), boge (<1), loge (<1), låge (<1), toga (<1), toger (<1), tåpe (<1), tårne (<1), tege (<1), soge (<1), toges (<1), tåte (<1)",4,4,2,TRUE,FALSE,FALSE,FALSE,,,,1,intransitive,FALSE
å tolke,,verb,low,4.28,,,medium,22719,32.45571429,some,5,medium,17041,"tolker (9), tolkes (8), tolket (6), tolka (<1), tolle (<1)",5,5,2,FALSE,FALSE,FALSE,FALSE,,,,,transitive,FALSE
å tømme,to empty,verb,medium,5.07765443,medium,5,medium,9739,13.91285714,some,18,medium,67348,"tøffe (16), tomme (14), tomme (14), tørre (13), dømme (12), tømmer (6), rømme (5), tømmes (2), tønne (2), tømte (2), ømme (1), tamme (1), temme (1), sømme (<1), gjømme (<1), tødde (<1), tømmen (<1), tømre (<1)",5,4,2,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å toppe,to top,verb,low,3.214361428,late,9.5,medium,11411,16.30142857,many,24,medium,128862,"oppe (60), stoppe (41), hoppe (24), tomme (14), topper (12), teppet (5), tippe (4), toppet (4), teppe (4), shoppe (3), poppe (2), tappe (1), toppes (<1), tobbe (<1), loppe (<1), pope (<1), toppa (<1), troppe (<1), tolle (<1), tuppe (<1), tåpe (<1), moppe (<1), tosse (<1), koppe (<1), soppe (<1)",5,4,2,TRUE,FALSE,FALSE,FALSE,,,,2,transitive,FALSE
å tørke,to dry,verb,medium,5.253690377,early,3.639344262,medium,9543,13.63285714,some,9,medium,51183,"mørke (29), tørre (13), mørket (11), tørket (6), tørket (6), tørker (4), tørkes (<1), tørka (<1), tørken (<1), tørkle (<1)",5,5,2,FALSE,FALSE,FALSE,FALSE,,,,1,alternating,FALSE
å trå,to tread,verb,medium,5.308417068,medium,6.181818182,medium,9716,13.88,some,18,high,500563,"tre (434), tro (184), frå (41), grå (18), rå (17), tru (5), tå (4), brå (3), trår (2), strå (1), trø (<1), trål (<1), træ (<1), trau (<1), trås (<1), krå (<1), vrå (<1), tråv (<1), tråa (<1)",3,3,1,FALSE,FALSE,FALSE,TRUE,,,,1,alternating,FALSE
å trampe,to stomp,verb,medium,6.373455376,early,3.769230769,low,1465,2.092857143,some,10,medium,5206,"trappe (2), krampe (1), trampet (<1), trampet (<1), tramper (<1), rampe (<1), trampa (<1), trampes (<1), tampe (<1), trampen (<1)",6,6,2,FALSE,FALSE,FALSE,TRUE,,,,1,intransitive,FALSE
